iter	Passed	Remaining
0	1	110
1	2	108
2	3	120
3	4	115
4	5	113
5	7	110
6	8	110
7	9	108
8	10	105
9	11	102
10	12	99
11	13	98
12	14	95
13	15	93
14	16	91
15	17	92
16	18	91
17	19	90
18	21	90
19	22	89
20	23	87
21	24	85
22	25	84
23	26	83
24	27	82
25	28	81
26	29	79
27	30	78
28	31	77
29	32	76
30	33	74
31	34	73
32	35	72
33	36	70
34	37	69
35	38	68
36	39	66
37	40	65
38	41	64
39	42	63
40	43	62
41	43	60
42	44	59
43	45	58
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	46
55	57	44
56	58	43
57	59	42
58	60	41
59	61	40
60	62	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	68	33
67	69	32
68	69	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	88	12
88	89	11
89	90	10
90	91	9
91	92	8
92	93	7
93	94	6
94	95	5
95	96	4
96	97	3
97	98	2
98	100	1
99	101	0
