iter	Passed	Remaining
0	143	142890
1	143	71722
2	144	47998
3	145	36203
4	146	29168
5	147	24491
6	148	21100
7	149	18562
8	150	16558
9	150	14947
10	151	13636
11	152	12543
12	152	11614
13	153	10817
14	154	10130
15	154	9520
16	155	8984
17	155	8509
18	156	8084
19	157	7702
20	157	7365
21	158	7058
22	159	6781
23	160	6536
24	161	6298
25	162	6077
26	163	5874
27	163	5684
28	164	5504
29	165	5340
30	165	5180
31	166	5033
32	167	4896
33	167	4765
34	168	4638
35	168	4522
36	169	4413
37	170	4311
38	171	4215
39	171	4120
40	172	4028
41	173	3949
42	173	3870
43	174	3795
44	175	3724
45	176	3653
46	176	3584
47	177	3518
48	178	3455
49	178	3396
50	179	3336
51	179	3280
52	180	3227
53	181	3176
54	181	3125
55	182	3077
56	183	3032
57	184	2990
58	184	2948
59	185	2908
60	186	2870
61	187	2834
62	188	2799
63	189	2767
64	190	2734
65	190	2700
66	191	2667
67	192	2634
68	192	2602
69	193	2570
70	194	2540
71	194	2510
72	195	2481
73	196	2455
74	197	2431
75	198	2409
76	199	2385
77	200	2369
78	201	2353
79	202	2329
80	203	2307
81	204	2284
82	204	2258
83	205	2237
84	205	2215
85	206	2194
86	207	2173
87	207	2153
88	208	2134
89	209	2117
90	210	2106
91	211	2090
92	213	2077
93	215	2080
94	218	2077
95	219	2064
96	220	2048
97	220	2033
98	221	2017
99	222	2001
100	223	1986
101	223	1970
102	224	1954
103	225	1940
104	225	1925
105	226	1914
106	228	1903
107	229	1893
108	230	1884
109	231	1871
110	232	1860
111	233	1848
112	234	1837
113	235	1826
114	235	1815
115	236	1803
116	237	1791
117	238	1785
118	242	1795
119	244	1794
120	245	1785
121	246	1773
122	247	1765
123	248	1758
124	249	1749
125	250	1738
126	251	1728
127	252	1720
128	254	1717
129	255	1712
130	257	1708
131	258	1702
132	259	1693
133	260	1683
134	261	1675
135	262	1666
136	263	1657
137	263	1648
138	264	1639
139	266	1637
140	268	1635
141	269	1629
142	270	1622
143	271	1614
144	272	1606
145	273	1597
146	273	1589
147	274	1581
148	275	1573
149	276	1565
150	277	1557
151	277	1549
152	278	1541
153	279	1537
154	281	1532
155	282	1527
156	283	1520
157	284	1514
158	284	1507
159	285	1500
160	286	1491
161	286	1484
162	287	1477
163	288	1470
164	289	1463
